iter	Passed	Remaining
0	1	135
1	2	116
2	3	107
3	4	104
4	5	100
5	6	97
6	7	94
7	8	92
8	9	91
9	9	87
10	10	88
11	12	89
12	13	87
13	14	86
14	14	84
15	15	83
16	16	82
17	17	80
18	18	79
19	19	78
20	19	75
21	20	74
22	21	73
23	22	72
24	23	71
25	24	70
26	25	68
27	26	67
28	26	65
29	27	64
30	28	63
31	29	61
32	29	60
33	30	59
34	31	59
35	33	58
36	34	57
37	35	57
38	35	55
39	36	54
40	37	54
41	38	52
42	39	52
43	40	51
44	41	50
45	42	49
46	43	48
47	44	47
48	44	46
49	45	45
50	46	44
51	47	44
52	48	42
53	49	42
54	49	40
55	50	39
56	51	39
57	52	38
58	53	37
59	54	36
60	55	35
61	56	34
62	57	33
63	58	32
64	59	31
65	60	30
66	61	30
67	61	29
68	62	28
69	63	27
70	64	26
71	65	25
72	66	24
73	67	23
74	67	22
75	68	21
76	69	20
77	70	19
78	71	18
79	72	18
80	73	17
81	73	16
82	74	15
83	75	14
84	76	13
85	77	12
86	78	11
87	79	10
88	80	9
89	81	9
90	81	8
91	82	7
92	83	6
93	84	5
94	85	4
95	86	3
96	87	2
97	88	1
98	89	0
99	90	0
